PROBEID	SYMBOL	ENTREZID	GENENAME
200029_at	RPL19	6143	ribosomal protein L19
200030_s_at	SLC25A3	5250	"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3"
200031_s_at	RPS11	6205	ribosomal protein S11
200032_s_at			
200033_at	DDX5	1655	DEAD (Asp-Glu-Ala-Asp) box helicase 5
200034_s_at			
200035_at	CTDNEP1	23399	CTD nuclear envelope phosphatase 1
200036_s_at	RPL10A	4736	ribosomal protein L10a
200037_s_at	CBX3	11335	chromobox homolog 3
200038_s_at			
200039_s_at	PSMB2	5690	proteasome subunit beta 2
200040_at	KHDRBS1	10657	"KH domain containing, RNA binding, signal transduction associated 1"
200041_s_at			
200042_at	RTCB	51493	"RNA 2',3'-cyclic phosphate and 5'-OH ligase"
200043_at	ERH	2079	enhancer of rudimentary homolog (Drosophila)
200044_at	SRSF9	8683	serine/arginine-rich splicing factor 9
200045_at	ABCF1	23	ATP binding cassette subfamily F member 1
200046_at	DAD1	1603	defender against cell death 1
200047_s_at	YY1	7528	YY1 transcription factor
200048_s_at	JTB	10899	jumping translocation breakpoint
200049_at	KAT7	11143	K(lysine) acetyltransferase 7
200050_at	ZNF146	7705	zinc finger protein 146
200051_at	SART1	9092	squamous cell carcinoma antigen recognized by T-cells 1
200052_s_at	ILF2	3608	interleukin enhancer binding factor 2
200053_at	SPAG7	9552	sperm associated antigen 7
200054_at	ZPR1	8882	ZPR1 zinc finger
200055_at	TAF10	6881	"TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa"
200056_s_at	C1D	10438	C1D nuclear receptor corepressor
200057_s_at	NONO	4841	"non-POU domain containing, octamer-binding"
200058_s_at	SNRNP200	23020	"small nuclear ribonucleoprotein, U5 200kDa subunit"
200059_s_at	RHOA	387	ras homolog family member A
200060_s_at	RNPS1	10921	"RNA binding protein S1, serine-rich domain"
200061_s_at	RPS24	6229	ribosomal protein S24
200062_s_at	RPL30	6156	ribosomal protein L30
200063_s_at	NPM1	4869	"nucleophosmin (nucleolar phosphoprotein B23, numatrin)"
200064_at	HSP90AB1	3326	"heat shock protein 90kDa alpha (cytosolic), class B member 1"
200065_s_at	ARF1	375	ADP-ribosylation factor 1
200066_at	IK	3550	"IK cytokine, down-regulator of HLA II"
200067_x_at	SNX3	8724	sorting nexin 3
200068_s_at	CANX	821	calnexin
200069_at	SART3	9733	squamous cell carcinoma antigen recognized by T-cells 3
200070_at	CNPPD1	27013	cyclin Pas1/PHO80 domain containing 1
200071_at	SMNDC1	10285	survival motor neuron domain containing 1
200072_s_at	HNRNPM	4670	heterogeneous nuclear ribonucleoprotein M
200073_s_at	HNRNPD	3184	heterogeneous nuclear ribonucleoprotein D
200074_s_at			
200075_s_at	GUK1	2987	guanylate kinase 1
200076_s_at	KXD1	79036	KxDL motif containing 1
200077_s_at	OAZ1	4946	ornithine decarboxylase antizyme 1
200078_s_at	ATP6V0B	533	"ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b"
200079_s_at	KARS	3735	lysyl-tRNA synthetase
200080_s_at			
200081_s_at	RPS6	6194	ribosomal protein S6
200082_s_at	RPS7	6201	ribosomal protein S7
200083_at	USP22	23326	ubiquitin specific peptidase 22
200084_at	C11orf58	10944	chromosome 11 open reading frame 58
200085_s_at	ELOB	6923	elongin B
200086_s_at	COX4I1	1327	cytochrome c oxidase subunit IV isoform 1
200087_s_at	TMED2	10959	transmembrane p24 trafficking protein 2
200088_x_at			
200089_s_at	RPL4	6124	ribosomal protein L4
200090_at	FNTA	2339	"farnesyltransferase, CAAX box, alpha"
200091_s_at	RPS25	6230	ribosomal protein S25
200092_s_at	RPL37	6167	ribosomal protein L37
200093_s_at	HINT1	3094	histidine triad nucleotide binding protein 1
200094_s_at	EEF2	1938	eukaryotic translation elongation factor 2
200095_x_at			
200096_s_at	ATP6V0E1	8992	"ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1"
200097_s_at	HNRNPK	3190	heterogeneous nuclear ribonucleoprotein K
200098_s_at	ANAPC5	51433	anaphase promoting complex subunit 5
200099_s_at			
200593_s_at	HNRNPU	3192	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)
200594_x_at	HNRNPU	3192	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)
200595_s_at	EIF3A	8661	"eukaryotic translation initiation factor 3, subunit A"
200596_s_at	EIF3A	8661	"eukaryotic translation initiation factor 3, subunit A"
200597_at	EIF3A	8661	"eukaryotic translation initiation factor 3, subunit A"
200598_s_at	HSP90B1	7184	"heat shock protein 90kDa beta (Grp94), member 1"
200599_s_at	HSP90B1	7184	"heat shock protein 90kDa beta (Grp94), member 1"
200600_at	MSN	4478	moesin
200601_at	ACTN4	81	"actinin, alpha 4"
200602_at	APP	351	amyloid beta (A4) precursor protein
200603_at	PRKAR1A	5573	"protein kinase, cAMP-dependent, regulatory, type I, alpha"
200604_s_at	PRKAR1A	5573	"protein kinase, cAMP-dependent, regulatory, type I, alpha"
200605_s_at	PRKAR1A	5573	"protein kinase, cAMP-dependent, regulatory, type I, alpha"
200606_at	DSP	1832	desmoplakin
200607_s_at	RAD21	5885	RAD21 cohesin complex component
200608_s_at	RAD21	5885	RAD21 cohesin complex component
200609_s_at	WDR1	9948	WD repeat domain 1
200610_s_at	NCL	4691	nucleolin
200611_s_at	WDR1	9948	WD repeat domain 1
200612_s_at	AP2B1	163	"adaptor-related protein complex 2, beta 1 subunit"
200613_at	AP2M1	1173	"adaptor-related protein complex 2, mu 1 subunit"
200614_at	CLTC	1213	"clathrin, heavy chain (Hc)"
200615_s_at	AP2B1	163	"adaptor-related protein complex 2, beta 1 subunit"
200616_s_at	MLEC	9761	malectin
200617_at	MLEC	9761	malectin
200618_at	LASP1	3927	LIM and SH3 protein 1
200619_at	SF3B2	10992	splicing factor 3b subunit 2
200620_at	TMEM59	9528	transmembrane protein 59
200621_at	CSRP1	1465	cysteine and glycine-rich protein 1
200622_x_at			
200623_s_at			
200624_s_at	MATR3	9782	matrin 3
200625_s_at	CAP1	10487	"CAP, adenylate cyclase-associated protein 1 (yeast)"
200626_s_at	MATR3	9782	matrin 3
200627_at	PTGES3	10728	prostaglandin E synthase 3 (cytosolic)
200628_s_at	WARS	7453	tryptophanyl-tRNA synthetase
200629_at	WARS	7453	tryptophanyl-tRNA synthetase
200630_x_at	SET	6418	SET nuclear proto-oncogene
200631_s_at	SET	6418	SET nuclear proto-oncogene
200632_s_at	NDRG1	10397	N-myc downstream regulated 1
200633_at	UBB	7314	ubiquitin B
200634_at	PFN1	5216	profilin 1
200635_s_at	PTPRF	5792	"protein tyrosine phosphatase, receptor type, F"
200636_s_at	PTPRF	5792	"protein tyrosine phosphatase, receptor type, F"
200637_s_at	PTPRF	5792	"protein tyrosine phosphatase, receptor type, F"
200638_s_at	YWHAZ	7534	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta"
200639_s_at	YWHAZ	7534	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta"
200640_at	YWHAZ	7534	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta"
200641_s_at	YWHAZ	7534	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta"
200642_at	SOD1	6647	"superoxide dismutase 1, soluble"
200643_at	HDLBP	3069	high density lipoprotein binding protein
200644_at	MARCKSL1	65108	MARCKS-like 1
200645_at	GABARAP	11337	GABA(A) receptor-associated protein
200646_s_at	NUCB1	4924	nucleobindin 1
200647_x_at			
200648_s_at	GLUL	2752	glutamate-ammonia ligase
200649_at	NUCB1	4924	nucleobindin 1
200650_s_at	LDHA	3939	lactate dehydrogenase A
200651_at	RACK1	10399	receptor for activated C kinase 1
200652_at	SSR2	6746	"signal sequence receptor, beta (translocon-associated protein beta)"
200653_s_at			
200654_at	P4HB	5034	"prolyl 4-hydroxylase, beta polypeptide"
200655_s_at			
200656_s_at	P4HB	5034	"prolyl 4-hydroxylase, beta polypeptide"
200657_at	SLC25A5	292	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5"
200658_s_at	PHB	5245	prohibitin
200659_s_at	PHB	5245	prohibitin
200660_at	S100A11	6282	S100 calcium binding protein A11
200661_at	CTSA	5476	cathepsin A
200662_s_at	TOMM20	9804	translocase of outer mitochondrial membrane 20 homolog (yeast)
200663_at	CD63	967	CD63 molecule
200664_s_at	DNAJB1	3337	"DnaJ (Hsp40) homolog, subfamily B, member 1"
200665_s_at	SPARC	6678	"secreted protein, acidic, cysteine-rich (osteonectin)"
200666_s_at	DNAJB1	3337	"DnaJ (Hsp40) homolog, subfamily B, member 1"
200667_at	UBE2D3	7323	ubiquitin conjugating enzyme E2D 3
200668_s_at	UBE2D3	7323	ubiquitin conjugating enzyme E2D 3
200669_s_at	UBE2D3	7323	ubiquitin conjugating enzyme E2D 3
200670_at	XBP1	7494	X-box binding protein 1
200671_s_at	SPTBN1	6711	"spectrin, beta, non-erythrocytic 1"
200672_x_at	SPTBN1	6711	"spectrin, beta, non-erythrocytic 1"
200673_at	LAPTM4A	9741	lysosomal protein transmembrane 4 alpha
200674_s_at	RPL32	6161	ribosomal protein L32
200675_at	CD81	975	CD81 molecule
200676_s_at	UBE2L3	7332	ubiquitin conjugating enzyme E2L 3
200677_at	PTTG1IP	754	pituitary tumor-transforming 1 interacting protein
200678_x_at	GRN	2896	granulin
200679_x_at	HMGB1	3146	high mobility group box 1
200680_x_at	HMGB1	3146	high mobility group box 1
200681_at	GLO1	2739	glyoxalase I
200682_s_at	UBE2L3	7332	ubiquitin conjugating enzyme E2L 3
200683_s_at	UBE2L3	7332	ubiquitin conjugating enzyme E2L 3
200684_s_at	UBE2L3	7332	ubiquitin conjugating enzyme E2L 3
200685_at	SRSF11	9295	serine/arginine-rich splicing factor 11
200686_s_at	SRSF11	9295	serine/arginine-rich splicing factor 11
200687_s_at	SF3B3	23450	splicing factor 3b subunit 3
200688_at	SF3B3	23450	splicing factor 3b subunit 3
200689_x_at	EEF1G	1937	eukaryotic translation elongation factor 1 gamma
200690_at	HSPA9	3313	heat shock 70kDa protein 9 (mortalin)
200691_s_at	HSPA9	3313	heat shock 70kDa protein 9 (mortalin)
200692_s_at	HSPA9	3313	heat shock 70kDa protein 9 (mortalin)
200693_at	YWHAQ	10971	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta"
200694_s_at	DDX24	57062	DEAD (Asp-Glu-Ala-Asp) box helicase 24
200695_at	PPP2R1A	5518	"protein phosphatase 2, regulatory subunit A, alpha"
200696_s_at	GSN	2934	gelsolin
200697_at	HK1	3098	hexokinase 1
200698_at	KDELR2	11014	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
200699_at	KDELR2	11014	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
200700_s_at	KDELR2	11014	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
200701_at	NPC2	10577	"Niemann-Pick disease, type C2"
200702_s_at	DDX24	57062	DEAD (Asp-Glu-Ala-Asp) box helicase 24
200703_at	DYNLL1	8655	"dynein, light chain, LC8-type 1"
200704_at	LITAF	9516	lipopolysaccharide-induced TNF factor
200705_s_at	EEF1B2	1933	eukaryotic translation elongation factor 1 beta 2
200706_s_at	LITAF	9516	lipopolysaccharide-induced TNF factor
200707_at	PRKCSH	5589	protein kinase C substrate 80K-H
200708_at	GOT2	2806	"glutamic-oxaloacetic transaminase 2, mitochondrial"
200709_at	FKBP1A	2280	FK506 binding protein 1A
200710_at	ACADVL	37	"acyl-CoA dehydrogenase, very long chain"
200711_s_at	SKP1	6500	S-phase kinase-associated protein 1
200712_s_at	MAPRE1	22919	"microtubule-associated protein, RP/EB family, member 1"
200713_s_at	MAPRE1	22919	"microtubule-associated protein, RP/EB family, member 1"
200714_x_at	OS9	10956	"osteosarcoma amplified 9, endoplasmic reticulum lectin"
200715_x_at	RPL13A	23521	ribosomal protein L13a
200716_x_at	RPL13A	23521	ribosomal protein L13a
200717_x_at	RPL7	6129	ribosomal protein L7
200718_s_at	SKP1	6500	S-phase kinase-associated protein 1
200719_at	SKP1	6500	S-phase kinase-associated protein 1
200720_s_at	ACTR1A	10121	"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"
200721_s_at	ACTR1A	10121	"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"
200722_s_at	CAPRIN1	4076	cell cycle associated protein 1
200723_s_at	CAPRIN1	4076	cell cycle associated protein 1
200724_at	RPL10	6134	ribosomal protein L10
200725_x_at	RPL10	6134	ribosomal protein L10
200726_at	PPP1CC	5501	"protein phosphatase 1, catalytic subunit, gamma isozyme"
200727_s_at	ACTR2	10097	ARP2 actin-related protein 2 homolog (yeast)
200728_at	ACTR2	10097	ARP2 actin-related protein 2 homolog (yeast)
200729_s_at	ACTR2	10097	ARP2 actin-related protein 2 homolog (yeast)
200730_s_at	PTP4A1	7803	"protein tyrosine phosphatase type IVA, member 1"
200731_s_at	PTP4A1	7803	"protein tyrosine phosphatase type IVA, member 1"
200732_s_at	PTP4A1	7803	"protein tyrosine phosphatase type IVA, member 1"
200733_s_at	PTP4A1	7803	"protein tyrosine phosphatase type IVA, member 1"
200734_s_at	ARF3	377	ADP-ribosylation factor 3
200735_x_at	NACA	4666	nascent polypeptide-associated complex alpha subunit
200736_s_at	GPX1	2876	glutathione peroxidase 1
200737_at	PGK1	5230	phosphoglycerate kinase 1
200738_s_at	PGK1	5230	phosphoglycerate kinase 1
200739_s_at	SUMO3	6612	small ubiquitin-like modifier 3
200740_s_at	SUMO3	6612	small ubiquitin-like modifier 3
200741_s_at	RPS27	6232	ribosomal protein S27
200742_s_at	TPP1	1200	tripeptidyl peptidase I
200743_s_at	TPP1	1200	tripeptidyl peptidase I
200744_s_at	GNB1	2782	"guanine nucleotide binding protein (G protein), beta polypeptide 1"
200745_s_at	GNB1	2782	"guanine nucleotide binding protein (G protein), beta polypeptide 1"
200746_s_at	GNB1	2782	"guanine nucleotide binding protein (G protein), beta polypeptide 1"
200747_s_at	NUMA1	4926	nuclear mitotic apparatus protein 1
200748_s_at	FTH1	2495	"ferritin, heavy polypeptide 1"
200749_at	RAN	5901	"RAN, member RAS oncogene family"
200750_s_at	RAN	5901	"RAN, member RAS oncogene family"
200751_s_at	HNRNPC	3183	heterogeneous nuclear ribonucleoprotein C (C1/C2)
200752_s_at	CAPN1	823	"calpain 1, (mu/I) large subunit"
200753_x_at	SRSF2	6427	serine/arginine-rich splicing factor 2
200754_x_at	SRSF2	6427	serine/arginine-rich splicing factor 2
200755_s_at	CALU	813	calumenin
200756_x_at	CALU	813	calumenin
200757_s_at	CALU	813	calumenin
200758_s_at	NFE2L1	4779	"nuclear factor, erythroid 2-like 1"
200759_x_at	NFE2L1	4779	"nuclear factor, erythroid 2-like 1"
200760_s_at	ARL6IP5	10550	ADP-ribosylation factor like GTPase 6 interacting protein 5
200761_s_at	ARL6IP5	10550	ADP-ribosylation factor like GTPase 6 interacting protein 5
200762_at	DPYSL2	1808	dihydropyrimidinase-like 2
200763_s_at	RPLP1	6176	"ribosomal protein, large, P1"
200764_s_at	CTNNA1	1495	"catenin (cadherin-associated protein), alpha 1"
200765_x_at	CTNNA1	1495	"catenin (cadherin-associated protein), alpha 1"
200766_at	CTSD	1509	cathepsin D
200767_s_at	FAM120A	23196	family with sequence similarity 120A
200768_s_at	MAT2A	4144	"methionine adenosyltransferase II, alpha"
200769_s_at	MAT2A	4144	"methionine adenosyltransferase II, alpha"
200770_s_at	LAMC1	3915	"laminin, gamma 1 (formerly LAMB2)"
200771_at	LAMC1	3915	"laminin, gamma 1 (formerly LAMB2)"
200772_x_at			
200773_x_at	PTMA	5757	"prothymosin, alpha"
200774_at	FAM120A	23196	family with sequence similarity 120A
200775_s_at	HNRNPK	3190	heterogeneous nuclear ribonucleoprotein K
200776_s_at	BZW1	9689	basic leucine zipper and W2 domains 1
200777_s_at	BZW1	9689	basic leucine zipper and W2 domains 1
200778_s_at	SEPT2	4735	septin 2
200779_at	ATF4	468	activating transcription factor 4
200780_x_at	GNAS	2778	GNAS complex locus
200781_s_at	RPS15A	6210	ribosomal protein S15a
200782_at	ANXA5	308	annexin A5
200783_s_at	STMN1	3925	stathmin 1
200784_s_at	LRP1	4035	LDL receptor related protein 1
200785_s_at	LRP1	4035	LDL receptor related protein 1
200786_at	PSMB7	5695	proteasome subunit beta 7
200787_s_at	PEA15	8682	phosphoprotein enriched in astrocytes 15
200788_s_at	PEA15	8682	phosphoprotein enriched in astrocytes 15
200789_at	ECH1	1891	"enoyl-CoA hydratase 1, peroxisomal"
200790_at	ODC1	4953	ornithine decarboxylase 1
200791_s_at	IQGAP1	8826	IQ motif containing GTPase activating protein 1
200792_at	XRCC6	2547	X-ray repair complementing defective repair in Chinese hamster cells 6
200793_s_at	ACO2	50	"aconitase 2, mitochondrial"
200794_x_at	DAZAP2	9802	DAZ associated protein 2
200795_at	SPARCL1	8404	SPARC like 1
200796_s_at	MCL1	4170	myeloid cell leukemia 1
200797_s_at	MCL1	4170	myeloid cell leukemia 1
200798_x_at	MCL1	4170	myeloid cell leukemia 1
200799_at			
200800_s_at			
200801_x_at	ACTB	60	"actin, beta"
200802_at	SARS	6301	seryl-tRNA synthetase
200803_s_at	TMBIM6	7009	transmembrane BAX inhibitor motif containing 6
200804_at	TMBIM6	7009	transmembrane BAX inhibitor motif containing 6
200805_at	LMAN2	10960	"lectin, mannose-binding 2"
200806_s_at	HSPD1	3329	heat shock 60kDa protein 1 (chaperonin)
200807_s_at	HSPD1	3329	heat shock 60kDa protein 1 (chaperonin)
200808_s_at	ZYX	7791	zyxin
200809_x_at	RPL12	6136	ribosomal protein L12
200810_s_at	CIRBP	1153	cold inducible RNA binding protein
200811_at	CIRBP	1153	cold inducible RNA binding protein
200812_at	CCT7	10574	"chaperonin containing TCP1, subunit 7 (eta)"
200813_s_at	PAFAH1B1	5048	"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)"
200814_at	PSME1	5720	proteasome activator subunit 1
200815_s_at	PAFAH1B1	5048	"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)"
200816_s_at	PAFAH1B1	5048	"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)"
200817_x_at	RPS10	6204	ribosomal protein S10
200818_at	ATP5O	539	"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit"
200819_s_at	RPS15	6209	ribosomal protein S15
200820_at	PSMD8	5714	"proteasome 26S subunit, non-ATPase 8"
200821_at	LAMP2	3920	lysosomal-associated membrane protein 2
200822_x_at	TPI1	7167	triosephosphate isomerase 1
200823_x_at	RPL29	6159	ribosomal protein L29
200824_at	GSTP1	2950	glutathione S-transferase pi 1
200825_s_at	HYOU1	10525	hypoxia up-regulated 1
200826_at	SNRPD2	6633	small nuclear ribonucleoprotein D2 polypeptide
200827_at	PLOD1	5351	"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1"
200828_s_at	ZNF207	7756	zinc finger protein 207
200829_x_at	ZNF207	7756	zinc finger protein 207
200830_at	PSMD2	5708	"proteasome 26S subunit, non-ATPase 2"
200831_s_at	SCD	6319	stearoyl-CoA desaturase (delta-9-desaturase)
200832_s_at	SCD	6319	stearoyl-CoA desaturase (delta-9-desaturase)
200833_s_at	RAP1B	5908	"RAP1B, member of RAS oncogene family"
200834_s_at	RPS21	6227	ribosomal protein S21
200835_s_at	MAP4	4134	microtubule associated protein 4
200836_s_at	MAP4	4134	microtubule associated protein 4
200837_at	BCAP31	10134	B-cell receptor-associated protein 31
200838_at	CTSB	1508	cathepsin B
200839_s_at	CTSB	1508	cathepsin B
200840_at	KARS	3735	lysyl-tRNA synthetase
200841_s_at	EPRS	2058	glutamyl-prolyl-tRNA synthetase
200842_s_at	EPRS	2058	glutamyl-prolyl-tRNA synthetase
200843_s_at	EPRS	2058	glutamyl-prolyl-tRNA synthetase
200844_s_at	PRDX6	9588	peroxiredoxin 6
200845_s_at	PRDX6	9588	peroxiredoxin 6
200846_s_at	PPP1CA	5499	"protein phosphatase 1, catalytic subunit, alpha isozyme"
200847_s_at	SARAF	51669	store-operated calcium entry-associated regulatory factor
200848_at	AHCYL1	10768	adenosylhomocysteinase like 1
200849_s_at	AHCYL1	10768	adenosylhomocysteinase like 1
200850_s_at	AHCYL1	10768	adenosylhomocysteinase like 1
200851_s_at	IST1	9798	increased sodium tolerance 1 homolog (yeast)
200852_x_at	GNB2	2783	"guanine nucleotide binding protein (G protein), beta polypeptide 2"
200853_at	H2AFZ	3015	"H2A histone family, member Z"
200854_at	NCOR1	9611	nuclear receptor corepressor 1
200855_at	NCOR1	9611	nuclear receptor corepressor 1
200856_x_at	NCOR1	9611	nuclear receptor corepressor 1
200857_s_at	NCOR1	9611	nuclear receptor corepressor 1
200858_s_at	RPS8	6202	ribosomal protein S8
200859_x_at	FLNA	2316	"filamin A, alpha"
200860_s_at	CNOT1	23019	CCR4-NOT transcription complex subunit 1
200861_at	CNOT1	23019	CCR4-NOT transcription complex subunit 1
200862_at	DHCR24	1718	24-dehydrocholesterol reductase
200863_s_at	RAB11A	8766	"RAB11A, member RAS oncogene family"
200864_s_at	RAB11A	8766	"RAB11A, member RAS oncogene family"
200865_at	EIF3F	8665	"eukaryotic translation initiation factor 3, subunit F"
200866_s_at	PSAP	5660	prosaposin
200867_at	RNF114	55905	ring finger protein 114
200868_s_at	RNF114	55905	ring finger protein 114
200869_at	RPL18A	6142	ribosomal protein L18a
200870_at	STRAP	11171	serine/threonine kinase receptor associated protein
200871_s_at	PSAP	5660	prosaposin
200872_at	S100A10	6281	S100 calcium binding protein A10
200873_s_at	CCT8	10694	"chaperonin containing TCP1, subunit 8 (theta)"
200874_s_at	NOP56	10528	NOP56 ribonucleoprotein
200875_s_at	NOP56	10528	NOP56 ribonucleoprotein
200876_s_at	PSMB1	5689	proteasome subunit beta 1
200877_at	CCT4	10575	"chaperonin containing TCP1, subunit 4 (delta)"
200878_at	EPAS1	2034	endothelial PAS domain protein 1
200879_s_at	EPAS1	2034	endothelial PAS domain protein 1
200880_at	DNAJA1	3301	"DnaJ (Hsp40) homolog, subfamily A, member 1"
200881_s_at	DNAJA1	3301	"DnaJ (Hsp40) homolog, subfamily A, member 1"
200882_s_at	PSMD4	5710	"proteasome 26S subunit, non-ATPase 4"
200883_at	UQCRC2	7385	ubiquinol-cytochrome c reductase core protein II
200884_at	CKB	1152	"creatine kinase, brain"
200885_at	RHOC	389	ras homolog family member C
200886_s_at	PGAM1	5223	phosphoglycerate mutase 1 (brain)
200887_s_at	STAT1	6772	signal transducer and activator of transcription 1
200888_s_at	RPL23	9349	ribosomal protein L23
200889_s_at	SSR1	6745	"signal sequence receptor, alpha"
200890_s_at	SSR1	6745	"signal sequence receptor, alpha"
200891_s_at	SSR1	6745	"signal sequence receptor, alpha"
200892_s_at	TRA2B	6434	transformer 2 beta homolog (Drosophila)
200893_at	TRA2B	6434	transformer 2 beta homolog (Drosophila)
200894_s_at	FKBP4	2288	FK506 binding protein 4
200895_s_at	FKBP4	2288	FK506 binding protein 4
200896_x_at	HDGF	3068	hepatoma-derived growth factor
200897_s_at	PALLD	23022	"palladin, cytoskeletal associated protein"
200898_s_at	MGEA5	10724	meningioma expressed antigen 5 (hyaluronidase)
200899_s_at	MGEA5	10724	meningioma expressed antigen 5 (hyaluronidase)
200900_s_at	M6PR	4074	mannose-6-phosphate receptor (cation dependent)
200901_s_at	M6PR	4074	mannose-6-phosphate receptor (cation dependent)
200902_at	SEPT15	9403	15 kDa selenoprotein
200903_s_at	AHCY	191	adenosylhomocysteinase
200904_at	HLA-E	3133	"major histocompatibility complex, class I, E"
200905_x_at	HLA-E	3133	"major histocompatibility complex, class I, E"
200906_s_at	PALLD	23022	"palladin, cytoskeletal associated protein"
200907_s_at	PALLD	23022	"palladin, cytoskeletal associated protein"
200908_s_at	RPLP2	6181	"ribosomal protein, large, P2"
200909_s_at	RPLP2	6181	"ribosomal protein, large, P2"
200910_at	CCT3	7203	"chaperonin containing TCP1, subunit 3 (gamma)"
200911_s_at	TACC1	6867	"transforming, acidic coiled-coil containing protein 1"
200912_s_at	EIF4A2	1974	eukaryotic translation initiation factor 4A2
200913_at	PPM1G	5496	"protein phosphatase, Mg2+/Mn2+ dependent, 1G"
200914_x_at	KTN1	3895	kinectin 1 (kinesin receptor)
200915_x_at	KTN1	3895	kinectin 1 (kinesin receptor)
200916_at	TAGLN2	8407	transgelin 2
200917_s_at	SRPRA	6734	SRP receptor alpha subunit
200918_s_at	SRPRA	6734	SRP receptor alpha subunit
200919_at	PHC2	1912	polyhomeotic homolog 2 (Drosophila)
