PROBEID	SYMBOL	ENTREZID	GENENAME
1552307_a_at	TTC39C	125488	tetratricopeptide repeat domain 39C
1552309_a_at	NEXN	91624	nexilin (F actin binding protein)
1552310_at	C15orf40	123207	chromosome 15 open reading frame 40
1552311_a_at	RAX2	84839	retina and anterior neural fold homeobox 2
1552312_a_at	MFAP3	4238	microfibrillar associated protein 3
1552314_a_at	EYA3	2140	EYA transcriptional coactivator and phosphatase 3
1552315_at	GIMAP1	170575	"GTPase, IMAP family member 1"
1552316_a_at	GIMAP1	170575	"GTPase, IMAP family member 1"
1552318_at	GIMAP1	170575	"GTPase, IMAP family member 1"
1552319_a_at	KLK8	11202	kallikrein related peptidase 8
1552320_a_at	CCDC65	85478	coiled-coil domain containing 65
1552321_a_at	CCDC65	85478	coiled-coil domain containing 65
1552322_at	FAM122C	159091	family with sequence similarity 122C
1552323_s_at	FAM122C	159091	family with sequence similarity 122C
1552325_at	CFAP53	220136	cilia and flagella associated protein 53
1552326_a_at	CFAP53	220136	cilia and flagella associated protein 53
1552327_at	ARMCX4	100131755	"armadillo repeat containing, X-linked 4"
1552329_at	RBBP6	5930	retinoblastoma binding protein 6
1552330_at	CENPBD1	92806	CENPB DNA-binding domain containing 1
1552332_at	TRIOBP	11078	TRIO and F-actin binding protein
1552334_at	TRIOBP	11078	TRIO and F-actin binding protein
1552335_at	CATSPER1	117144	"cation channel, sperm associated 1"
1552337_s_at	HOXD4	3233	homeobox D4
1552338_at	GSC	145258	goosecoid homeobox
1552340_at	SP7	121340	Sp7 transcription factor
1552343_s_at	PDE7A	5150	phosphodiesterase 7A
1552344_s_at	CNOT7	29883	CCR4-NOT transcription complex subunit 7
1552347_at	CRYZL1	9946	crystallin zeta like 1
1552348_at	PRSS33	260429	"protease, serine, 33"
1552349_a_at	PRSS33	260429	"protease, serine, 33"
1552354_at	CBARP	255057	"calcium channel, voltage-dependent, beta subunit associated regulatory protein"
1552355_s_at	CBARP	255057	"calcium channel, voltage-dependent, beta subunit associated regulatory protein"
1552359_at	MCMDC2	157777	minichromosome maintenance domain containing 2
1552360_a_at	TIRAP	114609	toll-interleukin 1 receptor (TIR) domain containing adaptor protein
1552362_a_at	LEAP2	116842	liver expressed antimicrobial peptide 2
1552364_s_at	MSI2	124540	musashi RNA binding protein 2
1552365_at	SCIN	85477	scinderin
1552367_a_at	SCIN	85477	scinderin
1552368_at	CTCFL	140690	CCCTC-binding factor (zinc finger protein)-like
1552370_at	C4orf33	132321	chromosome 4 open reading frame 33
1552372_at	C4orf33	132321	chromosome 4 open reading frame 33
1552373_s_at	C4orf33	132321	chromosome 4 open reading frame 33
1552375_at	ZNF333	84449	zinc finger protein 333
1552377_s_at	TVP23C	201158	trans-golgi network vesicle protein 23 homolog C (S. cerevisiae)
1552378_s_at	RDH10	157506	retinol dehydrogenase 10 (all-trans)
1552379_at	RDH10	157506	retinol dehydrogenase 10 (all-trans)
1552381_at	SRSF12	135295	serine/arginine-rich splicing factor 12
1552383_at	FAM71A	149647	"family with sequence similarity 71, member A"
1552384_a_at	FAM71A	149647	"family with sequence similarity 71, member A"
1552386_at	GAPT	202309	"GRB2-binding adaptor protein, transmembrane"
1552388_at	SCUBE1	80274	"signal peptide, CUB domain, EGF-like 1"
1552389_at	ERICH5	203111	glutamate rich 5
1552390_a_at	ERICH5	203111	glutamate rich 5
1552391_at	CCDC185	164127	coiled-coil domain containing 185
1552393_at	ENTHD1	150350	ENTH domain containing 1
1552394_a_at	ENTHD1	150350	ENTH domain containing 1
1552395_at	TSSK3	81629	testis-specific serine kinase 3
1552396_at	WFDC6	140870	WAP four-disulfide core domain 6
1552398_a_at	CLEC12A	160364	"C-type lectin domain family 12, member A"
1552399_a_at	BRF1	2972	"BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit"
1552400_a_at	TMEM266	123591	transmembrane protein 266
1552401_a_at			
1552402_at	CALML6	163688	calmodulin-like 6
1552405_at	NLRP5	126206	"NLR family, pyrin domain containing 5"
1552408_at	ODF4	146852	outer dense fiber of sperm tails 4
1552409_a_at	ODF4	146852	outer dense fiber of sperm tails 4
1552410_at	CLEC4F	165530	"C-type lectin domain family 4, member F"
1552411_at			
1552412_a_at			
1552414_at	WFDC9	259240	WAP four-disulfide core domain 9
1552415_a_at	WFDC9	259240	WAP four-disulfide core domain 9
1552417_a_at	NEDD1	121441	"neural precursor cell expressed, developmentally down-regulated 1"
1552418_at	TTLL10	254173	tubulin tyrosine ligase-like family member 10
1552419_s_at	TTLL10	254173	tubulin tyrosine ligase-like family member 10
1552421_a_at	CALR3	125972	calreticulin 3
1552422_at	C10orf25	220979	chromosome 10 open reading frame 25
1552423_at	ETV3	2117	ets variant 3
1552424_at	KLHL10	317719	kelch-like family member 10
1552425_a_at	KLHL10	317719	kelch-like family member 10
1552426_a_at	TM2D3	80213	TM2 domain containing 3
1552427_at	ZNF485	220992	zinc finger protein 485
1552430_at	WDR17	116966	WD repeat domain 17
1552432_at	MFSD6L	162387	major facilitator superfamily domain containing 6-like
1552436_a_at	CDH23	64072	cadherin-related 23
1552438_a_at	ANKAR	150709	ankyrin and armadillo repeat containing
1552439_s_at	MEGF11	84465	multiple EGF-like-domains 11
1552440_at	GPR182	11318	G protein-coupled receptor 182
1552445_a_at	ESX1	80712	ESX homeobox 1
1552448_a_at	FAM167A-AS1	83656	FAM167A antisense RNA 1
1552449_a_at			
1552450_a_at	DNAJC5G	285126	"DnaJ (Hsp40) homolog, subfamily C, member 5 gamma"
1552452_at	WDR88	126248	WD repeat domain 88
1552453_a_at	WDR88	126248	WD repeat domain 88
1552455_at	PRUNE2	158471	prune homolog 2 (Drosophila)
1552456_a_at	MBD3L2	125997	methyl-CpG binding domain protein 3-like 2
1552457_a_at	ADAMTSL1	92949	ADAMTS like 1
1552458_at	MBD3L1	85509	methyl-CpG binding domain protein 3-like 1
1552459_a_at	MBD3L1	85509	methyl-CpG binding domain protein 3-like 1
1552461_at	FAM46D	169966	"family with sequence similarity 46, member D"
1552463_at	SERPINB11	89778	"serpin peptidase inhibitor, clade B (ovalbumin), member 11 (gene/pseudogene)"
1552466_x_at	LINC00161	118421	long intergenic non-protein coding RNA 161
1552467_at	DSCR10	259234	Down syndrome critical region 10 (non-protein coding)
1552468_a_at	DSCR10	259234	Down syndrome critical region 10 (non-protein coding)
1552470_a_at	ABHD11	83451	abhydrolase domain containing 11
1552472_a_at	ACAP2	23527	"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
1552473_at	GAMT	2593	guanidinoacetate N-methyltransferase
1552474_a_at	GAMT	2593	guanidinoacetate N-methyltransferase
1552476_s_at	PLCD3	113026	"phospholipase C, delta 3"
1552477_a_at	IRF6	3664	interferon regulatory factor 6
1552478_a_at	IRF6	3664	interferon regulatory factor 6
1552480_s_at	PTPRC	5788	"protein tyrosine phosphatase, receptor type, C"
1552481_s_at	MAN1A2	10905	"mannosidase, alpha, class 1A, member 2"
1552482_at	RAPH1	65059	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
1552484_at	SMCR8	140775	"Smith-Magenis syndrome chromosome region, candidate 8"
1552485_at	LACTB	114294	"lactamase, beta"
1552486_s_at	LACTB	114294	"lactamase, beta"
1552487_a_at	BNC1	646	basonuclin 1
1552489_s_at	MPP4	58538	"membrane protein, palmitoylated 4"
1552490_at	LACE1	246269	lactation elevated 1
1552491_at	IDI2	91734	isopentenyl-diphosphate delta isomerase 2
1552493_s_at	CYP11B1	1584	"cytochrome P450, family 11, subfamily B, polypeptide 1"
1552494_at	TAF8	129685	TATA box binding protein associated factor 8
1552496_a_at	COBL	23242	cordon-bleu WH2 repeat protein
1552497_a_at	SLAMF6	114836	SLAM family member 6
1552498_at	ZSCAN20	7579	zinc finger and SCAN domain containing 20
1552499_a_at	ZSCAN20	7579	zinc finger and SCAN domain containing 20
1552501_a_at	GPBAR1	151306	G protein-coupled bile acid receptor 1
1552502_s_at	RHBDL2	54933	"rhomboid, veinlet-like 2 (Drosophila)"
1552503_at	FRAS1	80144	Fraser extracellular matrix complex subunit 1
1552504_a_at	BRSK1	84446	BR serine/threonine kinase 1
1552506_at	CRB2	286204	crumbs family member 2
1552507_at	KCNE4	23704	"potassium channel, voltage gated subfamily E regulatory beta subunit 4"
1552508_at	KCNE4	23704	"potassium channel, voltage gated subfamily E regulatory beta subunit 4"
1552509_a_at	CD300LG	146894	CD300 molecule-like family member g
1552510_at	SLC34A3	142680	"solute carrier family 34 (type II sodium/phosphate cotransporter), member 3"
1552511_a_at	CPA6	57094	carboxypeptidase A6
1552514_at	WBP2NL	164684	WBP2 N-terminal like
1552515_at	HIPK1	204851	homeodomain interacting protein kinase 1
1552516_a_at	HIPK1	204851	homeodomain interacting protein kinase 1
1552518_s_at	MTBP	27085	MDM2 binding protein
1552519_at	ACVR1C	130399	activin A receptor type IC
1552520_at	TMEM74	157753	transmembrane protein 74
1552521_a_at	TMEM74	157753	transmembrane protein 74
1552522_at	TIGD4	201798	tigger transposable element derived 4
1552523_a_at	TIGD4	201798	tigger transposable element derived 4
1552524_at	ART5	116969	ADP-ribosyltransferase 5
1552526_at	FAM71C	196472	"family with sequence similarity 71, member C"
1552528_at	LINC01547	84536	long intergenic non-protein coding RNA 1547
1552531_a_at	NLRP11	204801	"NLR family, pyrin domain containing 11"
1552532_a_at	ATP6V1C2	245973	"ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2"
1552535_at	CLDN19	149461	claudin 19
1552536_at	VTI1A	143187	vesicle transport through interaction with t-SNAREs 1A
1552538_a_at	KIF6	221458	kinesin family member 6
1552540_s_at	IQCD	115811	IQ motif containing D
1552541_at	TAGAP	117289	T-cell activation RhoGTPase activating protein
1552542_s_at	TAGAP	117289	T-cell activation RhoGTPase activating protein
1552543_a_at	STON2	85439	stonin 2
1552544_at	SERPINA12	145264	"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12"
1552546_a_at	LETM2	137994	leucine zipper-EF-hand containing transmembrane protein 2
1552548_at	BSND	7809	barttin CLCNK-type chloride channel accessory beta subunit
1552549_a_at	BSND	7809	barttin CLCNK-type chloride channel accessory beta subunit
1552552_s_at	CLEC4C	170482	"C-type lectin domain family 4, member C"
1552553_a_at	NLRC4	58484	"NLR family, CARD domain containing 4"
1552554_a_at	NLRC4	58484	"NLR family, CARD domain containing 4"
1552555_at	PRSS36	146547	"protease, serine 36"
1552557_a_at	ZDHHC15	158866	"zinc finger, DHHC-type containing 15"
1552558_a_at	RAI1	10743	retinoic acid induced 1
1552559_a_at	CDK15	65061	cyclin-dependent kinase 15
1552562_at	ZNF570	148268	zinc finger protein 570
1552563_a_at			
1552564_at	NUDT9P1	119369	nudix hydrolase 9 pseudogene 1
1552566_at	BTBD16	118663	BTB (POZ) domain containing 16
1552568_at	RTP3	83597	receptor (chemosensory) transporter protein 3
1552569_a_at	RTP3	83597	receptor (chemosensory) transporter protein 3
1552570_at	TSPEAR	54084	thrombospondin-type laminin G domain and EAR repeats
1552572_a_at	MIPOL1	145282	mirror-image polydactyly 1
1552573_s_at	MIPOL1	145282	mirror-image polydactyly 1
1552575_a_at	C6orf141	135398	chromosome 6 open reading frame 141
1552576_at	ALMS1P1	200420	"ALMS1, centrosome and basal body associated protein pseudogene 1"
1552578_a_at	MYO3B	140469	myosin IIIB
1552579_a_at	ADAM21	8747	ADAM metallopeptidase domain 21
1552580_at	TRIML2	205860	tripartite motif family like 2
1552582_at	ABCC13	150000	"ATP binding cassette subfamily C member 13, pseudogene"
1552583_s_at	ABCC13	150000	"ATP binding cassette subfamily C member 13, pseudogene"
1552584_at	IL12RB1	3594	"interleukin 12 receptor, beta 1"
1552585_s_at	GTF2A1L	11036	general transcription factor IIA 1-like
1552586_at	TRPV3	162514	"transient receptor potential cation channel, subfamily V, member 3"
1552587_at	CNBD1	168975	cyclic nucleotide binding domain containing 1
1552588_a_at	CNBD1	168975	cyclic nucleotide binding domain containing 1
1552590_a_at	ABCC12	94160	ATP binding cassette subfamily C member 12
1552592_at	MMP21	118856	matrix metallopeptidase 21
1552594_at	TMEM190	147744	transmembrane protein 190
1552596_at	GAS2L2	246176	growth arrest-specific 2 like 2
1552598_at	KCNG4	93107	"potassium channel, voltage gated modifier subfamily G, member 4"
1552599_at	PXT1	222659	"peroxisomal, testis specific 1"
1552602_at	CACNG5	27091	"calcium channel, voltage-dependent, gamma subunit 5"
1552604_at	LINC00308	54143	long intergenic non-protein coding RNA 308
1552605_s_at	LINC00308	54143	long intergenic non-protein coding RNA 308
1552607_at			
1552608_at	WFDC11	259239	WAP four-disulfide core domain 11
1552609_s_at			
1552610_a_at	JAK1	3716	Janus kinase 1
1552611_a_at	JAK1	3716	Janus kinase 1
1552612_at	CDC42SE2	56990	CDC42 small effector 2
1552613_s_at	CDC42SE2	56990	CDC42 small effector 2
1552615_at	ACACB	32	acetyl-CoA carboxylase beta
1552616_a_at	ACACB	32	acetyl-CoA carboxylase beta
1552617_a_at	RFWD2	64326	"ring finger and WD repeat domain 2, E3 ubiquitin protein ligase"
1552618_at	STX6	10228	syntaxin 6
1552619_a_at	ANLN	54443	anillin actin binding protein
1552620_at	SPRR4	163778	small proline-rich protein 4
1552621_at			
1552622_s_at			
1552623_at	HSH2D	84941	hematopoietic SH2 domain containing
1552625_a_at	TRNT1	51095	"tRNA nucleotidyl transferase, CCA-adding, 1"
1552626_a_at	TMEM163	81615	transmembrane protein 163
1552627_a_at	ARHGAP5	394	Rho GTPase activating protein 5
1552628_a_at	HERPUD2	64224	HERPUD family member 2
1552629_a_at	JMJD6	23210	jumonji domain containing 6
1552630_a_at	SRCAP	10847	Snf2-related CREBBP activator protein
1552631_a_at	MAP3K6	9064	mitogen-activated protein kinase kinase kinase 6
1552632_a_at	ARSG	22901	arylsulfatase G
1552633_at	ZNF101	94039	zinc finger protein 101
1552634_a_at	ZNF101	94039	zinc finger protein 101
1552637_at	PTPN11	5781	"protein tyrosine phosphatase, non-receptor type 11"
1552639_at	KLHDC7B	113730	kelch domain containing 7B
1552641_s_at			
1552643_at	ZNF626	199777	zinc finger protein 626
1552644_a_at	PHC3	80012	polyhomeotic homolog 3 (Drosophila)
1552646_at	IL11RA	3590	"interleukin 11 receptor, alpha"
1552648_a_at	TNFRSF10A	8797	"tumor necrosis factor receptor superfamily, member 10a"
1552649_a_at			
1552651_a_at			
1552652_at	HPS4	89781	Hermansky-Pudlak syndrome 4
1552656_s_at	UHMK1	127933	U2AF homology motif (UHM) kinase 1
1552657_a_at	TXNDC2	84203	thioredoxin domain containing 2 (spermatozoa)
1552658_a_at	NAV3	89795	neuron navigator 3
1552660_a_at	C5orf22	55322	chromosome 5 open reading frame 22
1552661_at	PCDHGB7	56099	"protocadherin gamma subfamily B, 7"
1552662_a_at	PCDHGB7	56099	"protocadherin gamma subfamily B, 7"
1552663_a_at	ERC1	23085	ELKS/RAB6-interacting/CAST family member 1
1552664_at	FLCN	201163	folliculin
1552665_at	JMJD1C-AS1	84989	JMJD1C antisense RNA 1
1552666_a_at	LRRC7	57554	leucine rich repeat containing 7
1552667_a_at	SH2D3C	10044	SH2 domain containing 3C
1552669_at	PPP1R3B	79660	"protein phosphatase 1, regulatory subunit 3B"
1552670_a_at	PPP1R3B	79660	"protein phosphatase 1, regulatory subunit 3B"
1552671_a_at	SLC9A7	84679	"solute carrier family 9, subfamily A (NHE7, cation proton antiporter 7), member 7"
1552672_a_at	IGSF3	3321	"immunoglobulin superfamily, member 3"
1552673_at	RFX6	222546	"regulatory factor X, 6"
1552674_at	DIRC1	116093	disrupted in renal carcinoma 1
1552675_at	DNAJB7	150353	"DnaJ (Hsp40) homolog, subfamily B, member 7"
1552676_at	UCN3	114131	urocortin 3
1552677_a_at	DIP2A	23181	disco-interacting protein 2 homolog A
1552678_a_at	USP28	57646	ubiquitin specific peptidase 28
1552680_a_at	KNL1	57082	kinetochore scaffold 1
1552682_a_at	KNL1	57082	kinetochore scaffold 1
1552684_a_at	SENP8	123228	"SUMO/sentrin peptidase family member, NEDD8 specific"
1552685_a_at	GRHL1	29841	grainyhead-like transcription factor 1
1552686_at	CNBD2	140894	cyclic nucleotide binding domain containing 2
1552687_a_at	CNBD2	140894	cyclic nucleotide binding domain containing 2
1552689_at	CASKIN1	57524	CASK interacting protein 1
1552690_a_at	CACNA2D4	93589	"calcium channel, voltage-dependent, alpha 2/delta subunit 4"
1552691_at	ARL11	115761	ADP-ribosylation factor like GTPase 11
1552693_at	ARL11	115761	ADP-ribosylation factor like GTPase 11
1552694_at	SLC2A13	114134	"solute carrier family 2 (facilitated glucose transporter), member 13"
1552695_a_at	SLC2A13	114134	"solute carrier family 2 (facilitated glucose transporter), member 13"
1552696_at	NIPA1	123606	non imprinted in Prader-Willi/Angelman syndrome 1
1552698_at	TUBA3FP	113691	"tubulin, alpha 3f, pseudogene"
1552701_a_at	CARD16	114769	"caspase recruitment domain family, member 16"
1552703_s_at			
1552705_at	DUSP19	142679	dual specificity phosphatase 19
1552708_a_at	DUSP19	142679	dual specificity phosphatase 19
1552711_a_at	CYB5D1	124637	cytochrome b5 domain containing 1
1552712_a_at	NMNAT2	23057	nicotinamide nucleotide adenylyltransferase 2
1552713_a_at	SLC4A1	6521	"solute carrier family 4 (anion exchanger), member 1 (Diego blood group)"
1552714_at	CREG2	200407	cellular repressor of E1A-stimulated genes 2
1552715_a_at	RXFP1	59350	relaxin/insulin-like family peptide receptor 1
1552716_at	SPEF2	79925	sperm flagellar 2
1552717_s_at			
1552718_at	DTD1	92675	D-tyrosyl-tRNA deacylase 1
1552719_at	CASC4	113201	cancer susceptibility candidate 4
1552721_a_at	FGF1	2246	fibroblast growth factor 1 (acidic)
1552722_at	ARPP21	10777	cAMP-regulated phosphoprotein 21kDa
1552724_at	RHOXF1	158800	"Rhox homeobox family, member 1"
1552725_s_at	ADAMTS17	170691	ADAM metallopeptidase with thrombospondin type 1 motif 17
1552726_at	ADAMTS17	170691	ADAM metallopeptidase with thrombospondin type 1 motif 17
1552727_s_at	ADAMTS17	170691	ADAM metallopeptidase with thrombospondin type 1 motif 17
1552729_at	SNHG7	84973	small nucleolar RNA host gene 7
1552730_at	DHH	50846	desert hedgehog
1552731_at	ABRA	137735	actin binding Rho activating protein
1552732_at	ABRA	137735	actin binding Rho activating protein
1552733_at	KLHDC1	122773	kelch domain containing 1
1552734_at	RICTOR	253260	"RPTOR independent companion of MTOR, complex 2"
1552735_at	PCDHGA4	56111	"protocadherin gamma subfamily A, 4"
1552736_a_at	NETO1	81832	neuropilin (NRP) and tolloid (TLL)-like 1
1552737_s_at	WWP2	11060	WW domain containing E3 ubiquitin protein ligase 2
1552738_a_at	ST7L	54879	suppression of tumorigenicity 7 like
1552739_s_at	ST7L	54879	suppression of tumorigenicity 7 like
1552740_at	C2orf15	150590	chromosome 2 open reading frame 15
1552742_at	KCNH8	131096	"potassium channel, voltage gated eag related subfamily H, member 8"
1552743_at	MCF2L	23263	MCF.2 cell line derived transforming sequence like
1552745_at	SLCO6A1	133482	"solute carrier organic anion transporter family, member 6A1"
1552747_a_at	PP2D1	151649	protein phosphatase 2C-like domain containing 1
1552749_a_at	KLC3	147700	kinesin light chain 3
1552750_at	CIB3	117286	calcium and integrin binding family member 3
1552751_a_at	CIB3	117286	calcium and integrin binding family member 3
1552752_a_at	CADM2	253559	cell adhesion molecule 2
1552754_a_at	CADM2	253559	cell adhesion molecule 2
1552755_at	C9orf66	157983	chromosome 9 open reading frame 66
1552757_s_at	C9orf66	157983	chromosome 9 open reading frame 66
1552758_at	HDAC9	9734	histone deacetylase 9
1552760_at	HDAC9	9734	histone deacetylase 9
1552761_at	SLC16A11	162515	"solute carrier family 16, member 11"
1552763_at	TMEM67	91147	transmembrane protein 67
1552765_x_at	TMEM67	91147	transmembrane protein 67
1552766_at	HS6ST2	90161	heparan sulfate 6-O-sulfotransferase 2
1552767_a_at	HS6ST2	90161	heparan sulfate 6-O-sulfotransferase 2
1552768_at	CAMKK1	84254	"calcium/calmodulin-dependent protein kinase kinase 1, alpha"
1552769_at	ZNF625	90589	zinc finger protein 625
1552770_s_at	ZNF563	147837	zinc finger protein 563
1552771_a_at	LIN9	286826	lin-9 DREAM MuvB core complex component
1552772_at	CLEC4D	338339	"C-type lectin domain family 4, member D"
1552773_at	CLEC4D	338339	"C-type lectin domain family 4, member D"
1552774_a_at	SLC25A27	9481	"solute carrier family 25, member 27"
1552775_at	GPRC6A	222545	"G protein-coupled receptor, class C, group 6, member A"
1552777_a_at	RAET1E	135250	retinoic acid early transcript 1E
1552779_a_at	SLC44A5	204962	"solute carrier family 44, member 5"
1552782_at	SLC44A5	204962	"solute carrier family 44, member 5"
1552783_at	ZNF417	147687	zinc finger protein 417
1552785_at	ZNF781	163115	zinc finger protein 781
1552787_at	HELB	92797	helicase (DNA) B
1552788_a_at	HELB	92797	helicase (DNA) B
1552789_at	SEC62	7095	"SEC62 homolog, preprotein translocation factor"
1552790_a_at	SEC62	7095	"SEC62 homolog, preprotein translocation factor"
1552791_a_at	TRDN	10345	triadin
1552792_at	SOCS4	122809	suppressor of cytokine signaling 4
1552793_at	C8orf31	286122	chromosome 8 open reading frame 31
1552794_a_at	ZNF547	284306	zinc finger protein 547
1552796_a_at	SIM1	6492	single-minded family bHLH transcription factor 1
1552797_s_at	PROM2	150696	prominin 2
1552798_a_at	TLR4	7099	toll-like receptor 4
1552799_at	TSNARE1	203062	t-SNARE domain containing 1
1552800_at	ABHD11	83451	abhydrolase domain containing 11
1552801_at	CAPN13	92291	calpain 13
1552803_a_at	STMN1	3925	stathmin 1
1552804_a_at	TIRAP	114609	toll-interleukin 1 receptor (TIR) domain containing adaptor protein
1552806_a_at	SIGLEC10	89790	sialic acid binding Ig-like lectin 10
1552807_a_at	SIGLEC10	89790	sialic acid binding Ig-like lectin 10
1552808_at	ADAMTSL1	92949	ADAMTS like 1
1552809_at	RFX4	5992	"regulatory factor X, 4 (influences HLA class II expression)"
1552811_at	WFIKKN1	117166	"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1"
1552812_a_at	SENP1	29843	SUMO1/sentrin specific peptidase 1
1552813_at	KLF14	136259	Kruppel-like factor 14
1552814_a_at	KLF14	136259	Kruppel-like factor 14
1552816_at	NXNL2	158046	nucleoredoxin-like 2
1552818_a_at	BRS3	680	bombesin-like receptor 3
1552819_at	LINC00205	102723489	long intergenic non-protein coding RNA 205
1552822_at	TMX3	54495	thioredoxin-related transmembrane protein 3
1552825_at	ZNF396	252884	zinc finger protein 396
1552826_at	SLC26A7	115111	"solute carrier family 26 (anion exchanger), member 7"
1552827_s_at	SLC26A7	115111	"solute carrier family 26 (anion exchanger), member 7"
1552828_at	SNX18	112574	sorting nexin 18
1552829_at			
1552830_at	FBXO39	162517	F-box protein 39
1552833_at	B3GNT6	192134	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6"
1552834_at	B3GNT6	192134	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6"
1552835_at	DENND1B	163486	DENN/MADD domain containing 1B
1552836_at	ZNF619	285267	zinc finger protein 619
1552837_at	ICK	22858	intestinal cell (MAK-like) kinase
1552839_at	FAM71D	161142	"family with sequence similarity 71, member D"
1552841_s_at	BCL2L14	79370	BCL2-like 14 (apoptosis facilitator)
1552842_at	HS6ST3	266722	heparan sulfate 6-O-sulfotransferase 3
1552843_at	SLC26A1	10861	"solute carrier family 26 (anion exchanger), member 1"
1552845_at	CLDN15	24146	claudin 15
1552846_s_at	RAB42	115273	"RAB42, member RAS oncogene family"
1552848_a_at	PTCHD1	139411	patched domain containing 1
1552849_at	M1AP	130951	meiosis 1 associated protein
1552851_at	ZSCAN4	201516	zinc finger and SCAN domain containing 4
1552852_a_at	ZSCAN4	201516	zinc finger and SCAN domain containing 4
1552853_at	VWA5B1	127731	von Willebrand factor A domain containing 5B1
1552854_a_at	VWA5B1	127731	von Willebrand factor A domain containing 5B1
1552856_at	LINC00311	197196	long intergenic non-protein coding RNA 311
1552857_a_at	HTR6	3362	"5-hydroxytryptamine (serotonin) receptor 6, G protein-coupled"
1552858_at	MAGEB6	158809	MAGE family member B6
1552860_at			
1552862_at	RUSC1-AS1	284618	RUSC1 antisense RNA 1
1552863_a_at	CACNG6	59285	"calcium channel, voltage-dependent, gamma subunit 6"
1552865_a_at	LMNTD1	160492	lamin tail domain containing 1
1552867_at			
1552868_at	CIRBP-AS1	148046	CIRBP antisense RNA 1
1552870_s_at	AXDND1	126859	axonemal dynein light chain domain containing 1
1552872_at	ASMTL-AS1	80161	ASMTL antisense RNA 1
1552873_s_at	ASMTL-AS1	80161	ASMTL antisense RNA 1
1552875_a_at	CD200R1	131450	CD200 receptor 1
1552876_at	LINC00334	114042	long intergenic non-protein coding RNA 334
